user_id,contest_id,origin,created_at,problem_appeared_at,response_submitted_at,score,qscore,labeling_state,chosen_answer,correct_answer,qualified,accuracy
36647,973,ISIC_0046409.jpg,2020-05-13,2020-05-13 22:02:01.683000+00:00,2020-05-13 22:02:03.598000+00:00,100,40,gold_standard,{'no'},{'no'},True,0.4
36647,973,ISIC_0046886.jpg,2020-05-13,2020-05-13 22:02:04.288000+00:00,2020-05-13 22:02:05.999000+00:00,100,40,active,{'yes'},,True,0.4
36647,973,ISIC_0046495.jpg,2020-05-13,2020-05-13 22:02:06.790999+00:00,2020-05-13 22:02:09.138000+00:00,100,40,active,{'yes'},,True,0.4
36647,973,ISIC_0046593.jpg,2020-05-13,2020-05-13 22:02:11.987000+00:00,2020-05-13 22:02:16.852999+00:00,100,40,active,{'yes'},,True,0.4
36647,973,ISIC_0046355.jpg,2020-05-13,2020-05-13 22:02:18.303000+00:00,2020-05-13 22:02:21.453000+00:00,100,40,active,{'yes'},,True,0.4
36647,973,ISIC_0046949.jpg,2020-05-13,2020-05-13 22:02:22.227999+00:00,2020-05-13 22:02:23.651000+00:00,100,45,gold_standard,{'yes'},{'yes'},True,0.45
36647,973,ISIC_0046918.jpg,2020-05-13,2020-05-13 22:02:25.220000+00:00,2020-05-13 22:02:27.905999+00:00,100,45,active,{'yes'},,True,0.45
36647,973,ISIC_0021442.jpg,2020-05-13,2020-05-13 22:02:28.917000+00:00,2020-05-13 22:02:31.285000+00:00,100,45,active,{'no'},,True,0.45
36647,973,ISIC_0046786.jpg,2020-05-13,2020-05-13 22:02:34.035000+00:00,2020-05-13 22:02:35.358000+00:00,100,50,gold_standard,{'yes'},{'yes'},True,0.5
36647,973,ISIC_0046966.jpg,2020-05-13,2020-05-13 22:02:40.884000+00:00,2020-05-13 22:02:46.523999+00:00,100,50,active,{'no'},,True,0.5
36647,973,ISIC_0046353.jpg,2020-05-13,2020-05-13 22:02:47.369999+00:00,2020-05-13 22:02:49.671000+00:00,0,46,gold_standard,{'yes'},{'no'},True,0.46
36647,973,ISIC_0046335.jpg,2020-05-13,2020-05-13 22:02:52.484000+00:00,2020-05-13 22:02:53.894000+00:00,100,50,gold_standard,{'yes'},{'yes'},True,0.5
36647,973,ISIC_0046665.jpg,2020-05-13,2020-05-13 22:02:54.619000+00:00,2020-05-13 22:02:56.171999+00:00,100,50,active,{'no'},,True,0.5
36647,973,ISIC_0046956.jpg,2020-05-13,2020-05-13 22:02:56.907000+00:00,2020-05-13 22:02:59.109000+00:00,100,53,gold_standard,{'yes'},{'yes'},True,0.53
36647,973,ISIC_0016081.jpg,2020-05-13,2020-05-13 22:02:59.892999+00:00,2020-05-13 22:03:01.865999+00:00,100,53,active,{'yes'},,True,0.53
36647,973,ISIC_0046462.jpg,2020-05-13,2020-05-13 22:03:03.431999+00:00,2020-05-13 22:03:04.940000+00:00,100,56,gold_standard,{'yes'},{'yes'},True,0.56
36647,973,ISIC_0046729.jpg,2020-05-13,2020-05-13 22:03:05.671999+00:00,2020-05-13 22:03:08.410000+00:00,100,56,active,{'yes'},,True,0.56
36647,973,ISIC_0046322.jpg,2020-05-13,2020-05-13 22:03:09.141000+00:00,2020-05-13 22:03:10.642000+00:00,100,59,gold_standard,{'yes'},{'yes'},True,0.59
36647,973,ISIC_0022661.jpg,2020-05-13,2020-05-13 22:03:15.943000+00:00,2020-05-13 22:03:18.424000+00:00,100,59,active,{'yes'},,True,0.59
36647,973,ISIC_0046416.jpg,2020-05-13,2020-05-13 22:03:25.214000+00:00,2020-05-13 22:03:28.313000+00:00,100,61,active,{'yes'},,True,0.61
36647,973,ISIC_0046898.jpg,2020-05-13,2020-05-13 22:03:29.017999+00:00,2020-05-13 22:03:29.946000+00:00,100,63,gold_standard,{'yes'},{'yes'},True,0.63
36647,973,ISIC_0046613.jpg,2020-05-13,2020-05-13 22:03:30.631000+00:00,2020-05-13 22:03:31.499000+00:00,0,60,gold_standard,{'yes'},{'no'},True,0.6
36647,973,ISIC_0046848.jpg,2020-05-13,2020-05-13 22:03:32.533000+00:00,2020-05-13 22:03:33.602999+00:00,100,62,gold_standard,{'no'},{'no'},True,0.62
36647,973,ISIC_0046410.jpg,2020-05-13,2020-05-13 22:03:34.648999+00:00,2020-05-13 22:03:36.056000+00:00,100,64,gold_standard,{'no'},{'no'},True,0.64
36647,973,ISIC_0046937.jpg,2020-05-13,2020-05-13 22:03:36.752000+00:00,2020-05-13 22:03:39.362000+00:00,100,64,qa,{'yes'},{'no'},True,0.64
36647,973,ISIC_0046334.jpg,2020-05-13,2020-05-13 22:03:40.898000+00:00,2020-05-13 22:03:42.181000+00:00,100,64,active,{'no'},,True,0.64
36647,973,ISIC_0046223.jpg,2020-05-13,2020-05-13 22:03:42.889000+00:00,2020-05-13 22:03:44.079000+00:00,100,64,active,{'no'},,True,0.64
36647,973,ISIC_0046351.jpg,2020-05-13,2020-05-13 22:03:45.369000+00:00,2020-05-13 22:03:47.249000+00:00,100,65,gold_standard,{'yes'},{'yes'},True,0.65
36647,973,ISIC_0046971.jpg,2020-05-13,2020-05-13 22:03:53.255000+00:00,2020-05-13 22:03:56.690000+00:00,100,65,qa,{'yes'},{'no'},True,0.65
36647,973,ISIC_0046383.jpg,2020-05-13,2020-05-13 22:04:02.532000+00:00,2020-05-13 22:04:13.444000+00:00,100,65,qa,{'yes'},{'yes'},True,0.65
36647,973,ISIC_0016101.jpg,2020-05-13,2020-05-13 22:04:14.186000+00:00,2020-05-13 22:04:15.563000+00:00,100,67,gold_standard,{'yes'},{'yes'},True,0.67
36647,973,ISIC_0046969.jpg,2020-05-13,2020-05-13 22:04:18.269000+00:00,2020-05-13 22:04:20.358000+00:00,100,67,active,{'yes'},,True,0.67
36647,973,ISIC_0046674.jpg,2020-05-13,2020-05-13 22:04:21.346999+00:00,2020-05-13 22:04:22.540999+00:00,0,64,gold_standard,{'yes'},{'no'},True,0.64
36647,973,ISIC_0016165.jpg,2020-05-13,2020-05-13 22:04:25.773000+00:00,2020-05-13 22:04:27.713000+00:00,0,62,gold_standard,{'yes'},{'no'},True,0.62
36647,973,ISIC_0046405.jpg,2020-05-13,2020-05-13 22:04:31.305000+00:00,2020-05-13 22:04:34.634000+00:00,100,62,active,{'yes'},,True,0.62
36647,973,ISIC_0046922.jpg,2020-05-13,2020-05-13 22:04:38.665000+00:00,2020-05-13 22:04:41.632999+00:00,0,59,gold_standard,{'no'},{'yes'},True,0.59
36647,973,ISIC_0046903.jpg,2020-05-13,2020-05-13 22:04:42.447000+00:00,2020-05-13 22:04:43.448999+00:00,100,61,gold_standard,{'yes'},{'yes'},True,0.61
36647,973,ISIC_0046344.jpg,2020-05-13,2020-05-13 22:04:48.717999+00:00,2020-05-13 22:04:51.017999+00:00,100,62,gold_standard,{'yes'},{'yes'},True,0.62
