user_id,contest_id,origin,problem_appeared_at,response_submitted_at,score,chosen_answer,qualified,accuracy
49970,1502,ISIC_0047033.jpg,2020-11-16 20:46:14.183000+00:00,2020-11-16 20:46:23.634000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0047033.jpg,2020-12-18 21:31:53.055000+00:00,2020-12-18 21:32:14.816999+00:00,100,{'yes'},True,0.01
66597,1502,ISIC_0047033.jpg,2021-02-03 18:26:28.812000+00:00,2021-02-03 18:26:34.658000+00:00,100,{'yes'},True,0.01
66542,1502,ISIC_0047033.jpg,2021-02-05 13:47:21.099000+00:00,2021-02-05 13:47:22.944999+00:00,100,{'yes'},True,0.01
50219,1502,ISIC_0047033.jpg,2021-03-02 17:28:07.069000+00:00,2021-03-02 17:28:08.589999+00:00,100,{'no'},True,0.01
50219,1502,ISIC_0047033.jpg,2021-03-02 17:28:23.042000+00:00,2021-03-02 17:28:31.012000+00:00,100,{'no'},True,0.01
49641,1502,ISIC_0047033.jpg,2021-03-02 21:50:56.720000+00:00,2021-03-02 21:50:58.025000+00:00,100,{'no'},True,0.01
49970,1502,ISIC_0046937.jpg,2020-11-16 20:57:59.236000+00:00,2020-11-16 20:58:00.053999+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046937.jpg,2020-12-29 23:43:03.194999+00:00,2020-12-29 23:43:04.552000+00:00,100,{'no'},True,0.01
66597,1502,ISIC_0046937.jpg,2021-02-03 20:26:32.153000+00:00,2021-02-03 20:26:33.578000+00:00,100,{'no'},True,0.01
66542,1502,ISIC_0046937.jpg,2021-02-05 13:53:31.720000+00:00,2021-02-05 13:53:32.829000+00:00,100,{'no'},True,0.01
50219,1502,ISIC_0046937.jpg,2021-03-02 17:13:25.819999+00:00,2021-03-02 17:13:28.414000+00:00,100,{'no'},True,0.01
49641,1502,ISIC_0046937.jpg,2021-03-02 21:49:11.911000+00:00,2021-03-02 21:49:12.614000+00:00,100,{'no'},True,0.01
49970,1502,ISIC_0046969.jpg,2020-11-16 20:54:20.496000+00:00,2020-11-16 20:54:21.704000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046969.jpg,2020-12-29 23:38:42.829000+00:00,2020-12-29 23:38:45.362000+00:00,100,{'no'},True,0.01
66597,1502,ISIC_0046969.jpg,2021-02-03 20:19:01.609999+00:00,2021-02-03 20:19:07.000999+00:00,100,{'no'},True,0.01
66542,1502,ISIC_0046969.jpg,2021-02-05 13:52:04.902000+00:00,2021-02-05 13:52:06.379000+00:00,100,{'no'},True,0.01
50219,1502,ISIC_0046969.jpg,2021-03-02 17:21:17.803000+00:00,2021-03-02 17:21:18.829000+00:00,100,{'no'},True,0.01
49641,1502,ISIC_0046969.jpg,2021-03-02 21:41:12.390000+00:00,2021-03-02 21:41:14.868000+00:00,100,{'no'},True,0.01
49970,1502,ISIC_0047002.jpg,2020-11-16 21:23:48.619000+00:00,2020-11-16 21:23:51.479000+00:00,100,{'yes'},True,0.01
54292,1502,ISIC_0047002.jpg,2020-12-30 16:21:01.342000+00:00,2020-12-30 16:21:03.176000+00:00,100,{'yes'},True,0.01
66597,1502,ISIC_0047002.jpg,2021-02-03 20:43:49.536000+00:00,2021-02-03 20:43:52.619999+00:00,100,{'yes'},True,0.01
66542,1502,ISIC_0047002.jpg,2021-02-05 14:00:07.543999+00:00,2021-02-05 14:00:08.627000+00:00,100,{'yes'},True,0.01
50219,1502,ISIC_0047002.jpg,2021-03-02 17:26:47.796000+00:00,2021-03-02 17:26:49.918000+00:00,100,{'yes'},True,0.01
49641,1502,ISIC_0047002.jpg,2021-03-02 21:45:01.254000+00:00,2021-03-02 21:45:03.122999+00:00,100,{'yes'},True,0.01
49970,1502,ISIC_0046932.jpg,2020-11-16 21:18:44.558000+00:00,2020-11-16 21:18:46.217000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046932.jpg,2020-12-30 16:14:29.867000+00:00,2020-12-30 16:14:31.148000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046932.jpg,2020-12-30 16:15:24.029000+00:00,2020-12-30 16:15:27.849999+00:00,100,{'no'},True,0.01
66597,1502,ISIC_0046932.jpg,2021-02-03 20:32:02.842999+00:00,2021-02-03 20:32:05.331000+00:00,100,{'no'},True,0.01
66542,1502,ISIC_0046932.jpg,2021-02-05 13:56:36.675000+00:00,2021-02-05 13:56:37.967999+00:00,100,{'no'},True,0.01
50219,1502,ISIC_0046932.jpg,2021-03-02 17:15:24.706000+00:00,2021-03-02 17:15:25.773000+00:00,100,{'no'},True,0.01
49641,1502,ISIC_0046932.jpg,2021-03-02 21:45:23.098000+00:00,2021-03-02 21:45:24.037000+00:00,100,{'no'},True,0.01
49970,1502,ISIC_0046955.jpg,2020-11-16 21:21:37.476000+00:00,2020-11-16 21:21:40.096000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046955.jpg,2020-12-30 16:19:14.681000+00:00,2020-12-30 16:19:36.043000+00:00,100,{'no'},True,0.01
66597,1502,ISIC_0046955.jpg,2021-02-03 20:42:14.999000+00:00,2021-02-03 20:42:22.617000+00:00,100,{'yes'},True,0.01
66542,1502,ISIC_0046955.jpg,2021-02-05 13:58:53.217999+00:00,2021-02-05 13:58:54.903000+00:00,100,{'yes'},True,0.01
50219,1502,ISIC_0046955.jpg,2021-03-02 17:15:59.717000+00:00,2021-03-02 17:16:10.263000+00:00,100,{'no'},True,0.01
49641,1502,ISIC_0046955.jpg,2021-03-02 21:50:25.122999+00:00,2021-03-02 21:50:26.836000+00:00,100,{'no'},True,0.01
49970,1502,ISIC_0046967.jpg,2020-11-16 20:59:14.901000+00:00,2020-11-16 20:59:16.203000+00:00,100,{'no'},True,0.01
54292,1502,ISIC_0046967.jpg,2020-12-30 14:28:48.079999+00:00,2020-12-30 14:28:50.069999+00:00,100,{'no'},True,0.01
